id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	0.99999	1.0	0.999995	9	0	1.5751	0.03883	0.038527	0.385273	1	1	1.5751
KRT20	6	0.99999	1.0	0.999995	10	0	1.4687	0.30665	0.30693	0.999995	2	0	1.4687
LRIG1	6	0.50916	0.73677	0.999995	5	3	-0.25402	0.81245	0.8112	0.999995	3	0	-0.25402
CTRL	10	0.57362	0.84354	0.999995	6	5	-0.2482	0.83419	0.83493	0.999995	4	0	-0.2482
AAVS1	10	0.81712	0.95117	0.999995	8	4	-0.25325	0.85853	0.8583	0.999995	5	0	-0.25325
CCR5	10	0.71407	0.90949	0.999995	7	4	-0.27755	0.8796	0.88022	0.999995	6	0	-0.27755
ROSA26	10	0.093388	0.30555	0.999995	3	6	-0.29753	0.9135	0.9138	0.999995	7	0	-0.29753
PROM1	6	0.22469	0.467	0.999995	4	4	-0.21822	0.91393	0.91393	0.999995	8	0	-0.21822
EGFP	6	0.0014268	0.0069736	0.034868	2	6	-0.45193	0.99857	0.99857	0.999995	9	0	-0.45193
SOX9	6	3.9138e-07	4.999e-06	5e-05	1	6	-1.1063	1.0	1.0	0.999995	10	0	-1.1063
