id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	0.99999	1.0	0.999995	9	0	4.645	4.1512e-06	1.4997e-05	0.00015	1	5	4.645
KRT20	6	0.99999	1.0	0.999995	10	0	2.9877	0.0019466	0.0067037	0.033518	2	4	2.9877
LRIG1	6	0.86401	0.93387	0.999995	7	1	0.18131	0.71922	0.71755	0.999995	3	0	0.18131
PROM1	6	0.87101	0.93753	0.999995	8	2	0.11017	0.81245	0.8112	0.999995	4	0	0.11017
AAVS1	10	0.070678	0.25275	0.676802	3	6	0.037958	0.83419	0.83493	0.999995	5	0	0.037958
ROSA26	10	0.67456	0.89485	0.999995	6	4	0.1559	0.9135	0.9138	0.999995	6	0	0.1559
CCR5	10	0.36087	0.69087	0.999995	5	6	0.078489	0.9888	0.98939	0.999995	7	0	0.078489
CTRL	10	0.078271	0.27072	0.676802	4	7	0.063729	0.99265	0.99297	0.999995	8	0	0.063729
SOX9	6	1.2003e-05	3.4993e-05	0.000175	2	6	-1.5503	0.99999	1.0	0.999995	9	0	-1.5503
mKate2	6	1.9572e-06	1.4997e-05	0.00015	1	6	-2.7518	1.0	1.0	0.999995	10	0	-2.7518
