sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
mKate2_g1	mKate2	180.1	5309.6	180.1	5309.6	4.874	1.3156e+07	52698	22.345	1	8.631e-111	1.7262e-110	1.3119e-108	True
mKate2_g2	mKate2	236.81	6559.9	236.81	6559.9	4.786	1.9991e+07	93377	20.692	1	2.6055e-95	5.211e-95	1.9802e-93	True
mKate2_g3	mKate2	216.91	5908.6	216.91	5908.6	4.7612	1.6198e+07	77727	20.415	1	7.8224e-93	1.5645e-92	3.9634e-91	True
mKate2_g6	mKate2	418.9	8789.1	418.9	8789.1	4.3878	3.503e+07	3.077e+05	15.089	1	1.2277e-51	2.4553e-51	4.6651e-50	True
mKate2_g5	mKate2	299.5	4741.8	299.5	4741.8	3.9803	9.8669e+06	1.5256e+05	11.373	1	3.6471e-30	7.2943e-30	1.1087e-28	True
SOX9_g2	SOX9	482.58	2332.7	482.58	2332.7	2.2708	1.7115e+06	4.1368e+05	2.8765	0.9974	0.0025993	0.0051986	0.065849	True
SOX9_g5	SOX9	695.51	3130.7	695.51	3130.7	2.1687	2.965e+06	8.8858e+05	2.5833	0.99364	0.0063562	0.012712	0.13802	True
SOX9_g4	SOX9	571.14	1828.2	571.14	1828.2	1.6768	7.9006e+05	5.8845e+05	1.6387	0.93438	0.065621	0.13124	0.60974	True
SOX9_g1	SOX9	886.56	2737.7	886.56	2737.7	1.6256	1.7134e+06	1.4764e+06	1.5235	0.91682	0.08318	0.16636	0.60974	True
mKate2_g4	mKate2	1211.9	3425.2	1211.9	3425.2	1.4981	2.4492e+06	2.8396e+06	1.3134	0.87628	0.12372	0.24745	0.60974	True
SOX9_g3	SOX9	545.27	1480.4	545.27	1480.4	1.4393	4.3726e+05	5.3407e+05	1.2796	0.87006	0.12994	0.25987	0.60974	True
EGFP_g3	EGFP	2357.2	1551.8	2357.2	1551.8	-0.60282	3.2434e+05	1.1424e+07	0.78806	0.21533	0.78467	0.43066	0.60974	False
ROSA26_g6	ROSA26	3941.2	2635.2	3941.2	2635.2	-0.58055	8.5286e+05	3.3494e+07	0.78419	0.21646	0.78354	0.43293	0.60974	False
CTRL0004_g4	CTRL	1361.2	930.67	1361.2	930.67	-0.54803	92670	3.6207e+06	0.74811	0.2272	0.7728	0.45439	0.60974	False
LRIG1_g6	LRIG1	1934.3	1351.8	1934.3	1351.8	-0.51664	1.6967e+05	7.5531e+06	0.73592	0.23089	0.76911	0.46178	0.60974	False
