id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	5.0395	3.9138e-07	4.999e-06	5e-05	1	6	5.0395
SOX9	6	0.99999	1.0	0.999995	9	0	1.1705	0.11168	0.17902	0.895096	2	2	1.1705
KRT20	6	0.99493	0.99471	0.999995	8	0	-0.25736	0.74552	0.743	0.998565	3	0	-0.25736
AAVS1	10	0.59101	0.85451	0.999995	7	3	-0.30397	0.83419	0.83493	0.998565	4	0	-0.30397
EGFP	6	0.055226	0.17587	0.439675	4	5	-0.34849	0.84834	0.84736	0.998565	5	0	-0.34849
CCR5	10	0.32944	0.65699	0.999995	6	6	-0.36693	0.93855	0.93887	0.998565	6	0	-0.36693
CTRL	10	0.12751	0.37651	0.753019	5	6	-0.34274	0.94844	0.94928	0.998565	7	0	-0.34274
PROM1	6	0.038089	0.13086	0.439675	2	5	-0.37516	0.96484	0.9649	0.998565	8	0	-0.37516
ROSA26	10	0.04085	0.16926	0.439675	3	7	-0.3781	0.98322	0.98378	0.998565	9	0	-0.3781
LRIG1	6	0.0014268	0.0069736	0.069736	1	6	-0.41929	0.99857	0.99857	0.998565	10	0	-0.41929
