id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	3.9898	4.1512e-06	4.999e-06	5e-05	1	5	3.9898
SOX9	6	0.99999	1.0	0.999995	9	0	1.4952	0.36283	0.36269	0.983228	2	0	1.4952
KRT20	6	0.84834	0.92574	0.999995	8	1	-0.32426	0.71922	0.71755	0.983228	3	0	-0.32426
EGFP	6	0.54214	0.76147	0.999995	6	3	-0.28474	0.792	0.79028	0.983228	4	0	-0.28474
CCR5	10	0.65333	0.88577	0.999995	7	4	-0.45685	0.83419	0.83493	0.983228	5	0	-0.45685
ROSA26	10	0.0034213	0.021631	0.216307	1	9	-0.47888	0.85853	0.8583	0.983228	6	0	-0.47888
AAVS1	10	0.33415	0.66184	0.999995	5	5	-0.50561	0.89781	0.8985	0.983228	7	0	-0.50561
CTRL	10	0.050212	0.19879	0.662617	3	8	-0.43589	0.9135	0.9138	0.983228	8	0	-0.43589
LRIG1	6	0.30665	0.57192	0.999995	4	3	-0.43697	0.93246	0.93258	0.983228	9	0	-0.43697
PROM1	6	0.010279	0.045226	0.22613	2	5	-0.48573	0.9831	0.98323	0.983228	10	0	-0.48573
