sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
KRT20_g4	KRT20	2140.6	1197.3	2140.6	1197.3	-0.83762	4.4483e+05	2.9152e+10	2.5402	0.0055397	0.99446	0.011079	0.041623	False
mKate2_g1	mKate2	4595.4	1765.3	4595.4	1765.3	-1.3797	4.0046e+06	6.2584e+10	2.5396	0.0055484	0.99445	0.011097	0.041623	False
mKate2_g5	mKate2	3701.7	1636.5	3701.7	1636.5	-1.1771	2.1326e+06	5.0413e+10	2.5278	0.0057393	0.99426	0.011479	0.041623	False
KRT20_g6	KRT20	3240	1588.5	3240	1588.5	-1.0279	1.3638e+06	4.4125e+10	2.5145	0.0059598	0.99404	0.01192	0.041623	False
mKate2_g2	mKate2	5113.1	2059.6	5113.1	2059.6	-1.3114	4.662e+06	6.9635e+10	2.5045	0.0061318	0.99387	0.012264	0.041623	False
mKate2_g3	mKate2	5065.1	2078.2	5065.1	2078.2	-1.2848	4.4607e+06	6.8981e+10	2.4996	0.0062171	0.99378	0.012434	0.041623	False
KRT20_g3	KRT20	4046.8	1907.6	4046.8	1907.6	-1.0847	2.2882e+06	5.5113e+10	2.4896	0.0063947	0.99361	0.012789	0.041623	False
KRT20_g1	KRT20	4249.1	2312.9	4249.1	2312.9	-0.87717	1.8745e+06	5.7868e+10	2.4293	0.0075642	0.99244	0.015128	0.041623	False
AAVS1_g6	AAVS1	1493.7	1392	1493.7	1392	-0.10166	5170.9	2.0343e+10	2.4218	0.0077225	0.99228	0.015445	0.041623	False
AAVS1_g9	AAVS1	1616	1475.6	1616	1475.6	-0.13106	9859.4	2.2008e+10	2.415	0.0078676	0.99213	0.015735	0.041623	False
KRT20_g2	KRT20	5324.5	2739.6	5324.5	2739.6	-0.95845	3.341e+06	7.2514e+10	2.4094	0.0079903	0.99201	0.015981	0.041623	False
mKate2_g6	mKate2	6685.7	3097.8	6685.7	3097.8	-1.1096	6.4364e+06	9.1051e+10	2.4067	0.0080478	0.99195	0.016096	0.041623	False
ROSA26_g9	ROSA26	1675.4	1541.3	1675.4	1541.3	-0.12026	8987.9	2.2817e+10	2.4057	0.00807	0.99193	0.01614	0.041623	False
CTRL0004_g4	CTRL	1978.3	1712.9	1978.3	1712.9	-0.20769	35211	2.6942e+10	2.3978	0.0082469	0.99175	0.016494	0.041623	False
mKate2_g4	mKate2	3624	2344	3624	2344	-0.62837	8.1915e+05	4.9354e+10	2.395	0.0083099	0.99169	0.01662	0.041623	False
AAVS1_g4	AAVS1	2081.1	1906.7	2081.1	1906.7	-0.12624	15216	2.8343e+10	2.3678	0.0089479	0.99105	0.017896	0.041623	False
AAVS1_g10	AAVS1	2117.7	1928.9	2117.7	1928.9	-0.13465	17822	2.8841e+10	2.3667	0.008973	0.99103	0.017946	0.041623	False
KRT20_g5	KRT20	8194.2	3867.6	8194.2	3867.6	-1.083	9.3599e+06	1.116e+11	2.3632	0.0090586	0.99094	0.018117	0.041623	False
CCR5_g3	CCR5	2661.7	2250.7	2661.7	2250.7	-0.24189	84466	3.6249e+10	2.3523	0.0093276	0.99067	0.018655	0.041623	False
CCR5_g9	CCR5	2288	2183.1	2288	2183.1	-0.067652	5497.7	3.116e+10	2.3352	0.0097665	0.99023	0.019533	0.041623	False
AAVS1_g7	AAVS1	2868.5	2603.6	2868.5	2603.6	-0.13978	35107	3.9066e+10	2.312	0.010389	0.98961	0.020779	0.041623	False
LRIG1_g2	LRIG1	2684.6	2571.6	2684.6	2571.6	-0.062008	6382.3	3.656e+10	2.304	0.010612	0.98939	0.021223	0.041623	False
ROSA26_g8	ROSA26	3546.3	3020.5	3546.3	3020.5	-0.23146	1.3823e+05	4.8296e+10	2.2964	0.010826	0.98917	0.021653	0.041623	False
LRIG1_g6	LRIG1	2621.7	2618.7	2621.7	2618.7	-0.0016581	4.5377	3.5704e+10	2.2926	0.010936	0.98906	0.021872	0.041623	False
CCR5_g1	CCR5	2803.4	2735.1	2803.4	2735.1	-0.035561	2331.1	3.8179e+10	2.2889	0.011042	0.98896	0.022084	0.041623	False
LRIG1_g3	LRIG1	2688	2687.1	2688	2687.1	-0.00045767	0.36372	3.6607e+10	2.2876	0.011081	0.98892	0.022163	0.041623	False
CTRL0002_g2	CTRL	3578.3	3200.9	3578.3	3200.9	-0.16073	71197	4.8732e+10	2.2761	0.011421	0.98858	0.022842	0.041623	False
AAVS1_g3	AAVS1	3394.3	3123.6	3394.3	3123.6	-0.11986	36636	4.6226e+10	2.2752	0.011447	0.98855	0.022894	0.041623	False
CTRL0009_g9	CTRL	3869.7	3356.5	3869.7	3356.5	-0.20522	1.317e+05	5.2701e+10	2.2731	0.01151	0.98849	0.023021	0.041623	False
CCR5_g5	CCR5	3022.8	2968	3022.8	2968	-0.026394	1502.5	4.1167e+10	2.2723	0.011534	0.98847	0.023068	0.041623	False
CTRL0001_g1	CTRL	3648	3270.2	3648	3270.2	-0.15765	71340	4.9681e+10	2.2716	0.011555	0.98845	0.02311	0.041623	False
ROSA26_g10	ROSA26	4077.7	3490.7	4077.7	3490.7	-0.22418	1.7228e+05	5.5533e+10	2.2682	0.011657	0.98834	0.023314	0.041623	False
AAVS1_g5	AAVS1	3733.7	3481.8	3733.7	3481.8	-0.10074	31724	5.0848e+10	2.2521	0.012159	0.98784	0.024317	0.041623	False
CCR5_g10	CCR5	3298.3	3273.8	3298.3	3273.8	-0.010737	299.24	4.4918e+10	2.2516	0.012173	0.98783	0.024346	0.041623	False
CTRL0005_g5	CTRL	3843.4	3614.2	3843.4	3614.2	-0.088666	26256	5.2343e+10	2.2433	0.012437	0.98756	0.024875	0.041623	False
CTRL0008_g8	CTRL	3841.1	3713.8	3841.1	3713.8	-0.048616	8104.5	5.2312e+10	2.2327	0.012784	0.98722	0.025567	0.041623	False
PROM1_g3	PROM1	3646.8	3619.6	3646.8	3619.6	-0.010819	371.36	4.9666e+10	2.2325	0.012791	0.98721	0.025583	0.041623	False
ROSA26_g5	ROSA26	3728	3688	3728	3688	-0.01554	798.01	5.0771e+10	2.2295	0.012889	0.98711	0.025778	0.041623	False
AAVS1_g2	AAVS1	4123.4	3912.9	4123.4	3912.9	-0.075572	22152	5.6156e+10	2.2264	0.012994	0.98701	0.025987	0.041623	False
CTRL0007_g7	CTRL	4188.5	4077.4	4188.5	4077.4	-0.038804	6180.8	5.7043e+10	2.2135	0.013433	0.98657	0.026865	0.041623	False
LRIG1_g1	LRIG1	4414.8	4335.1	4414.8	4335.1	-0.026272	3175	6.0125e+10	2.1999	0.013906	0.98609	0.027812	0.041623	False
LRIG1_g4	LRIG1	4771.4	4560.9	4771.4	4560.9	-0.065073	22150	6.4981e+10	2.1955	0.014065	0.98594	0.02813	0.041623	False
AAVS1_g1	AAVS1	5014.8	4719.1	5014.8	4719.1	-0.087656	43714	6.8296e+10	2.192	0.01419	0.98581	0.02838	0.041623	False
CCR5_g2	CCR5	4497.1	4481.8	4497.1	4481.8	-0.0049172	117.12	6.1245e+10	2.1905	0.014242	0.98576	0.028485	0.041623	False
ROSA26_g2	ROSA26	5316.5	5030.3	5316.5	5030.3	-0.079839	40978	7.2405e+10	2.1785	0.014683	0.98532	0.029367	0.041623	False
ROSA26_g6	ROSA26	6003.4	5569.8	6003.4	5569.8	-0.10813	93993	8.1759e+10	2.1626	0.015285	0.98472	0.03057	0.041623	False
CTRL0010_g10	CTRL	5964.5	5600	5964.5	5600	-0.090957	66428	8.123e+10	2.1592	0.015419	0.98458	0.030837	0.041623	False
ROSA26_g3	ROSA26	6460.5	6016.9	6460.5	6016.9	-0.10261	98390	8.7985e+10	2.1467	0.015907	0.98409	0.031814	0.041623	False
PROM1_g2	PROM1	5606.8	5603.6	5606.8	5603.6	-0.00083031	5.2053	7.6358e+10	2.1464	0.015921	0.98408	0.031842	0.041623	False
PROM1_g4	PROM1	6411.4	6303.1	6411.4	6303.1	-0.024559	5857.1	8.7316e+10	2.1265	0.016729	0.98327	0.033458	0.041623	False
CTRL0006_g6	CTRL	7188.5	6780.5	7188.5	6780.5	-0.084294	83246	9.7899e+10	2.1206	0.016978	0.98302	0.033956	0.041623	False
PROM1_g6	PROM1	8806.8	8773.4	8806.8	8773.4	-0.0054822	557.98	1.1994e+11	2.0577	0.019809	0.98019	0.039618	0.046322	False
CTRL0003_g3	CTRL	10566	10213	10566	10213	-0.049038	62351	1.4389e+11	2.0333	0.021011	0.97899	0.042022	0.047667	False
ROSA26_g1	ROSA26	12563	12016	12563	12016	-0.064249	1.4975e+05	1.711e+11	2.0023	0.022626	0.97737	0.045253	0.049843	False
EGFP_g2	EGFP	1004.6	6346.7	1004.6	6346.7	2.6582	1.4269e+07	1.3681e+10	0.045673	0.042987	0.95701	0.085974	0.085974	True
EGFP_g5	EGFP	990.85	6137.8	990.85	6137.8	2.6298	1.3246e+07	1.3494e+10	0.044307	0.041861	0.95814	0.083723	0.084839	True
EGFP_g1	EGFP	1008	5409.8	1008	5409.8	2.4229	9.688e+06	1.3728e+10	0.037569	0.036582	0.96342	0.073164	0.07614	True
EGFP_g6	EGFP	1548.6	6805.4	1548.6	6805.4	2.135	1.3817e+07	2.109e+10	0.036198	0.037068	0.96293	0.074137	0.07614	True
EGFP_g4	EGFP	652.57	3688.9	652.57	3688.9	2.4972	4.6097e+06	8.8872e+09	0.032208	0.031046	0.96895	0.062091	0.065541	True
EGFP_g3	EGFP	641.14	3472.9	641.14	3472.9	2.4356	4.0095e+06	8.7316e+09	0.030305	0.029489	0.97051	0.058978	0.063132	True
SOX9_g5	SOX9	1541.7	4278.2	1541.7	4278.2	1.4719	3.7443e+06	2.0996e+10	0.018886	0.023358	0.97664	0.046717	0.050721	True
SOX9_g2	SOX9	1324.6	3194.7	1324.6	3194.7	1.2695	1.7487e+06	1.8039e+10	0.013924	0.01883	0.98117	0.03766	0.044721	True
SOX9_g1	SOX9	2060.6	4271.1	2060.6	4271.1	1.0512	2.4433e+06	2.8062e+10	0.013196	0.020145	0.97985	0.04029	0.046395	True
SOX9_g6	SOX9	3245.7	5740.5	3245.7	5740.5	0.82245	3.112e+06	4.4203e+10	0.011866	0.02152	0.97848	0.043039	0.048103	True
SOX9_g3	SOX9	661.71	1776.9	661.71	1776.9	1.4237	6.2182e+05	9.0117e+09	0.011747	0.014852	0.98515	0.029704	0.041623	True
SOX9_g4	SOX9	991.99	2194.7	991.99	2194.7	1.1448	7.2323e+05	1.351e+10	0.010347	0.014963	0.98504	0.029927	0.041623	True
