id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	0.99999	1.0	0.999995	9	0	1.5408	0.03883	0.038527	0.385273	1	1	1.5408
KRT20	6	0.99999	1.0	0.999995	10	0	1.488	0.24639	0.24702	0.999995	2	0	1.488
EGFP	6	0.80722	0.90513	0.999995	7	2	-0.098436	0.74552	0.743	0.999995	3	0	-0.098436
LRIG1	6	0.048041	0.15726	0.524212	3	5	-0.26272	0.81245	0.8112	0.999995	4	0	-0.26272
CTRL	10	0.64141	0.8811	0.999995	6	4	-0.19672	0.83419	0.83493	0.999995	5	0	-0.19672
AAVS1	10	0.070678	0.25275	0.631886	4	7	-0.3638	0.85853	0.8583	0.999995	6	0	-0.3638
ROSA26	10	0.25594	0.57094	0.999995	5	5	-0.18021	0.8796	0.88022	0.999995	7	0	-0.18021
PROM1	6	0.9771	0.97835	0.999995	8	1	-0.12643	0.90318	0.90309	0.999995	8	0	-0.12643
CCR5	10	0.023844	0.11089	0.524212	2	8	-0.29234	0.9135	0.9138	0.999995	9	0	-0.29234
SOX9	6	1.4365e-07	4.999e-06	5e-05	1	6	-1.5753	1.0	1.0	0.999995	10	0	-1.5753
