id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	1.8843	0.03883	0.038527	0.385273	1	1	1.8843
SOX9	6	0.99999	1.0	0.999995	9	0	0.8753	0.36283	0.36269	0.959673	2	0	0.8753
EGFP	6	0.26183	0.51648	0.999995	5	4	-0.15708	0.65978	0.65838	0.959673	3	0	-0.15708
CCR5	10	0.5282	0.814	0.999995	6	5	-0.28101	0.85853	0.8583	0.959673	4	0	-0.28101
AAVS1	10	0.074632	0.26234	0.655856	4	5	-0.43676	0.8796	0.88022	0.959673	5	0	-0.43676
CTRL	10	0.79383	0.942	0.999995	8	4	-0.15008	0.89781	0.8985	0.959673	6	0	-0.15008
LRIG1	6	0.010279	0.045226	0.22613	2	5	-0.49336	0.92366	0.92391	0.959673	7	0	-0.49336
ROSA26	10	0.038398	0.1607	0.535676	3	7	-0.35705	0.93855	0.93887	0.959673	8	0	-0.35705
PROM1	6	0.0082862	0.037428	0.22613	1	5	-0.42266	0.94754	0.94743	0.959673	9	0	-0.42266
KRT20	6	0.53978	0.75963	0.999995	7	3	-0.27566	0.9597	0.95967	0.959673	10	0	-0.27566
