id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	2.2624	1.4365e-07	4.999e-06	5e-05	1	6	2.2624
KRT20	6	0.99999	1.0	0.999995	9	0	1.6422	1.2003e-05	3.4993e-05	0.000175	2	6	1.6422
CTRL	10	0.96404	0.96469	0.999995	8	0	-0.15875	0.83419	0.83493	0.994706	3	0	-0.15875
mKate2	6	0.90318	0.90309	0.999995	7	0	-0.11981	0.84834	0.84736	0.994706	4	0	-0.11981
AAVS1	10	0.89781	0.90942	0.999995	6	1	-0.24495	0.8796	0.88022	0.994706	5	0	-0.24495
PROM1	6	0.15916	0.30694	0.949023	3	3	-0.22312	0.89134	0.89044	0.994706	6	0	-0.22312
CCR5	10	0.027087	0.095746	0.478729	2	5	-0.35757	0.89781	0.8985	0.994706	7	0	-0.35757
LRIG1	6	0.41517	0.55492	0.999995	5	1	-0.27931	0.90318	0.90309	0.994706	8	0	-0.27931
ROSA26	10	0.17996	0.37961	0.949023	4	4	-0.17353	0.92698	0.92732	0.994706	9	0	-0.17353
SOX9	6	5.1537e-05	0.00024495	0.00245	1	5	-0.43719	0.99493	0.99471	0.994706	10	0	-0.43719
