id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	3.4751	4.1512e-06	1.4997e-05	0.00015	1	5	3.4751
SOX9	6	0.99998	1.0	0.999995	9	0	1.1533	0.36283	0.36311	0.947426	2	1	1.1533
PROM1	6	0.06019	0.18794	0.626458	3	4	-0.43521	0.74552	0.743	0.947426	3	0	-0.43521
CTRL	10	0.0021035	0.014232	0.142322	1	8	-0.49818	0.80615	0.80665	0.947426	4	0	-0.49818
ROSA26	10	0.27002	0.58822	0.843753	5	6	-0.30276	0.85853	0.8583	0.947426	5	0	-0.30276
mKate2	6	0.24025	0.48835	0.843753	4	4	-0.38062	0.86401	0.86292	0.947426	6	0	-0.38062
CCR5	10	0.04085	0.16926	0.626458	2	5	-0.3697	0.8796	0.88022	0.947426	7	0	-0.3697
AAVS1	10	0.27192	0.59063	0.843753	6	5	-0.36239	0.9135	0.9138	0.947426	8	0	-0.36239
KRT20	6	0.45039	0.69423	0.867783	8	2	-0.29855	0.91393	0.91393	0.947426	9	0	-0.29855
LRIG1	6	0.30751	0.57306	0.843753	7	4	-0.38079	0.94754	0.94743	0.947426	10	0	-0.38079
