id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SOX9	6	1.0	1.0	0.999995	10	0	1.1063	0.03883	0.038527	0.385273	1	1	1.1063
EGFP	6	0.99979	0.99983	0.999995	9	0	0.45193	0.41517	0.41486	0.999995	2	0	0.45193
AAVS1	10	0.65333	0.88577	0.999995	7	4	0.25325	0.64619	0.64662	0.999995	3	0	0.25325
CTRL	10	0.33989	0.6679	0.999995	4	5	0.2482	0.69458	0.6952	0.999995	4	0	0.2482
CCR5	10	0.74226	0.92073	0.999995	8	4	0.27755	0.73692	0.73683	0.999995	5	0	0.27755
ROSA26	10	0.60675	0.86411	0.999995	6	5	0.29753	0.83419	0.83493	0.999995	6	0	0.29753
LRIG1	6	0.59273	0.7978	0.999995	5	3	0.25402	0.84834	0.84736	0.999995	7	0	0.25402
PROM1	6	0.055226	0.17587	0.586233	3	5	0.21822	0.94754	0.94743	0.999995	8	0	0.21822
mKate2	6	1.2003e-05	3.4993e-05	0.000175	2	6	-1.5751	0.99999	1.0	0.999995	9	0	-1.5751
KRT20	6	6.9543e-06	2.4995e-05	0.000175	1	6	-1.4687	0.99999	1.0	0.999995	10	0	-1.4687
