id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	3.7684	0.03883	0.038527	0.385273	1	1	3.7684
SOX9	6	0.99999	1.0	0.999995	9	0	1.2875	0.36283	0.36269	0.959673	2	0	1.2875
KRT20	6	0.76974	0.88708	0.999995	8	2	-0.48989	0.81245	0.8112	0.959673	3	0	-0.48989
AAVS1	10	0.49407	0.79118	0.999995	5	4	-0.65407	0.83419	0.83493	0.959673	4	0	-0.65407
ROSA26	10	0.0074523	0.043216	0.432164	1	7	-0.66248	0.85853	0.8583	0.959673	5	0	-0.66248
mKate2	6	0.74552	0.8768	0.999995	7	2	-0.49867	0.86401	0.86292	0.959673	6	0	-0.49867
LRIG1	6	0.063167	0.19458	0.48644	4	5	-0.65108	0.90318	0.90309	0.959673	7	0	-0.65108
CCR5	10	0.50585	0.79912	0.999995	6	5	-0.56672	0.9135	0.9138	0.959673	8	0	-0.56672
CTRL	10	0.035097	0.14991	0.48644	2	8	-0.49612	0.92698	0.92732	0.959673	9	0	-0.49612
PROM1	6	0.035767	0.12422	0.48644	3	5	-0.64359	0.9597	0.95967	0.959673	10	0	-0.64359
