id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	0.99999	1.0	0.999995	9	0	4.6358	4.1512e-06	1.4997e-05	0.000125	1	6	4.6358
KRT20	6	0.99999	1.0	0.999995	10	0	2.8297	6.9543e-06	2.4995e-05	0.000125	2	6	2.8297
LRIG1	6	0.65315	0.8407	0.999995	7	2	-0.16159	0.81245	0.8112	0.999995	3	0	-0.16159
AAVS1	10	0.62101	0.87265	0.999995	6	4	-0.2109	0.83419	0.83493	0.999995	4	0	-0.2109
ROSA26	10	0.36087	0.69087	0.999995	4	6	-0.19463	0.85853	0.8583	0.999995	5	0	-0.19463
PROM1	6	0.59273	0.7978	0.999995	5	3	-0.16633	0.89134	0.89044	0.999995	6	0	-0.16633
CTRL	10	0.73554	0.91819	0.999995	8	4	-0.16509	0.89781	0.8985	0.999995	7	0	-0.16509
CCR5	10	0.10665	0.33401	0.999995	3	7	-0.27014	0.99701	0.99704	0.999995	8	0	-0.27014
mKate2	6	1.2003e-05	3.4993e-05	0.000175	2	6	-0.53903	0.99999	1.0	0.999995	9	0	-0.53903
SOX9	6	1.4365e-07	4.999e-06	5e-05	1	6	-0.80361	1.0	1.0	0.999995	10	0	-0.80361
