id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	0.99971	0.99976	0.999755	10	0	0.39539	2.55e-05	6.4987e-05	0.00065	1	5	0.39539
LRIG1	6	0.59021	0.58945	0.921847	3	0	-0.045984	0.36283	0.38281	0.999995	2	1	-0.045984
CTRL	10	0.59101	0.62655	0.921847	4	1	0.067418	0.45684	0.52616	0.999995	3	1	0.067418
PROM1	6	0.93246	0.93258	0.999755	9	0	0.11223	0.46388	0.4675	0.999995	4	1	0.11223
CCR5	10	0.37591	0.50896	0.921847	2	1	-0.042296	0.69458	0.69588	0.999995	5	1	-0.042296
KRT20	6	0.62634	0.62596	0.921847	5	0	-0.0464	0.71922	0.71755	0.999995	6	0	-0.0464
ROSA26	10	0.73692	0.73748	0.921847	8	1	0.070542	0.77391	0.77465	0.999995	7	0	0.070542
mKate2	6	0.69069	0.68962	0.921847	7	0	-0.049486	0.94754	0.94743	0.999995	8	0	-0.049486
AAVS1	10	0.64619	0.66398	0.921847	6	1	-0.071669	0.99408	0.99428	0.999995	9	0	-0.071669
SOX9	6	1.9572e-06	1.4997e-05	0.00015	1	6	-0.5376	1.0	1.0	0.999995	10	0	-0.5376
