id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	2.3157	4.1512e-06	4.999e-06	5e-05	1	5	2.3157
SOX9	6	0.99998	1.0	0.999995	9	0	0.34981	0.41517	0.41486	0.997555	2	0	0.34981
KRT20	6	0.9982	0.99805	0.999995	8	0	-0.082449	0.62634	0.62596	0.997555	3	0	-0.082449
EGFP	6	0.94754	0.96346	0.999995	7	1	-0.093644	0.76974	0.76702	0.997555	4	0	-0.093644
CCR5	10	0.36087	0.69087	0.999995	6	6	-0.26108	0.8796	0.88022	0.997555	5	0	-0.26108
AAVS1	10	0.014622	0.07613	0.253766	3	8	-0.30336	0.89781	0.8985	0.997555	6	0	-0.30336
ROSA26	10	0.012671	0.067791	0.253766	2	7	-0.27657	0.93855	0.93887	0.997555	7	0	-0.27657
LRIG1	6	0.044821	0.14884	0.372088	4	3	-0.25461	0.95395	0.95404	0.997555	8	0	-0.25461
CTRL	10	0.14141	0.40422	0.808448	5	7	-0.24651	0.95687	0.95742	0.997555	9	0	-0.24651
PROM1	6	0.0022445	0.011113	0.111128	1	6	-0.27081	0.99776	0.99756	0.997555	10	0	-0.27081
