sgRNA	Gene	S33_MNSC505_F1	S34_MNSC505_F2	S35_MNSC505_F3	S36_MNSC505_F4
SOX9_g1	SOX9	1032	2187	686	558
SOX9_g2	SOX9	813	1978	451	361
SOX9_g3	SOX9	744	1222	395	256
SOX9_g4	SOX9	618	1271	405	360
SOX9_g5	SOX9	1152	2265	646	487
SOX9_g6	SOX9	2004	3376	1431	1186
PROM1_g1	PROM1	1167	1335	1151	980
PROM1_g2	PROM1	1803	2011	1714	1472
PROM1_g3	PROM1	1335	1378	1117	954
PROM1_g4	PROM1	2075	2260	1977	1633
PROM1_g5	PROM1	1246	1321	1144	992
PROM1_g6	PROM1	2920	3161	2806	2185
KRT20_g1	KRT20	3091	961	2527	2738
KRT20_g2	KRT20	4214	1312	3521	3934
KRT20_g3	KRT20	3533	1248	2995	3330
KRT20_g4	KRT20	1549	593	1430	1620
KRT20_g5	KRT20	5303	1706	4547	5083
KRT20_g6	KRT20	2192	774	2074	2277
LRIG1_g1	LRIG1	1576	1675	1262	1189
LRIG1_g2	LRIG1	891	927	712	649
LRIG1_g3	LRIG1	845	932	816	709
LRIG1_g4	LRIG1	1667	1873	1514	1273
LRIG1_g5	LRIG1	2346	2861	2302	2004
LRIG1_g6	LRIG1	929	1089	705	658
CTRL0001_g1	CTRL	1091	1233	930	886
CTRL0002_g2	CTRL	1003	1212	1088	766
CTRL0003_g3	CTRL	3496	3810	3144	2734
CTRL0004_g4	CTRL	535	679	550	447
CTRL0005_g5	CTRL	1231	1289	1058	895
CTRL0006_g6	CTRL	2464	2419	1851	1588
CTRL0007_g7	CTRL	1284	1422	1205	994
CTRL0008_g8	CTRL	1143	1353	1102	980
CTRL0009_g9	CTRL	1082	1201	1039	871
CTRL0010_g10	CTRL	2021	1859	1833	1516
ROSA26_g1	ROSA26	3783	4468	3549	3092
ROSA26_g2	ROSA26	1635	1886	1509	1223
ROSA26_g3	ROSA26	1936	2107	1792	1576
ROSA26_g4	ROSA26	1384	1606	1346	1145
ROSA26_g5	ROSA26	1277	1386	1172	912
ROSA26_g6	ROSA26	2049	2338	1671	1371
ROSA26_g7	ROSA26	1708	2290	1277	1059
ROSA26_g8	ROSA26	1045	1169	1014	835
ROSA26_g9	ROSA26	426	502	415	331
ROSA26_g10	ROSA26	1269	1262	1172	1035
CCR5_g1	CCR5	885	1079	829	659
CCR5_g2	CCR5	1516	1802	1260	1091
CCR5_g3	CCR5	843	922	808	675
CCR5_g4	CCR5	664	826	584	460
CCR5_g5	CCR5	1051	1085	857	776
CCR5_g6	CCR5	1288	1390	832	674
CCR5_g7	CCR5	1971	2291	1911	1558
CCR5_g8	CCR5	1285	1491	1151	962
CCR5_g9	CCR5	824	799	639	603
CCR5_g10	CCR5	1189	1312	955	799
AAVS1_g1	AAVS1	1611	1658	1307	1222
AAVS1_g2	AAVS1	1342	1449	1227	1039
AAVS1_g3	AAVS1	1059	1252	899	757
AAVS1_g4	AAVS1	595	768	502	499
AAVS1_g5	AAVS1	1095	1316	936	842
AAVS1_g6	AAVS1	555	524	456	381
AAVS1_g7	AAVS1	897	1029	734	634
AAVS1_g8	AAVS1	1802	2006	1320	1242
AAVS1_g9	AAVS1	517	575	430	423
AAVS1_g10	AAVS1	618	681	578	474
EGFP_g1	EGFP	1354	1670	1363	1225
EGFP_g2	EGFP	1557	2087	1863	1540
EGFP_g3	EGFP	856	1218	1064	902
EGFP_g4	EGFP	938	1192	902	773
EGFP_g5	EGFP	1366	1753	1633	1354
EGFP_g6	EGFP	1727	2181	1938	1543
mKate2_g1	mKate2	2542	801	2315	2546
mKate2_g2	mKate2	3040	899	2577	2970
mKate2_g3	mKate2	2987	879	2459	2844
mKate2_g4	mKate2	1792	890	1594	1633
mKate2_g5	mKate2	2346	763	2003	2431
mKate2_g6	mKate2	4350	1353	3648	4150
