sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
mKate2_g6	mKate2	3823.1	13569	3823.1	13569	1.8272	4.7487e+07	1.4809e+06	8.0082	1	5.823e-16	1.1646e-15	8.851e-14	True
mKate2_g2	mKate2	2468.9	9999.8	2468.9	9999.8	2.0176	2.8357e+07	9.5637e+05	7.7007	1	6.805e-15	1.361e-14	5.1718e-13	True
mKate2_g3	mKate2	2496.9	9110.7	2496.9	9110.7	1.867	2.1871e+07	9.6722e+05	6.7249	1	8.8319e-12	1.7664e-11	4.4748e-10	True
mKate2_g1	mKate2	2123.4	8009	2123.4	8009	1.9147	1.732e+07	8.2253e+05	6.4895	1	4.3469e-11	8.6939e-11	1.6518e-09	True
mKate2_g5	mKate2	2270.1	7497.5	2270.1	7497.5	1.7232	1.3663e+07	8.7935e+05	5.5745	1	1.2511e-08	2.5021e-08	3.8032e-07	True
SOX9_g5	SOX9	3656.1	7838.8	3656.1	7838.8	1.1001	8.7476e+06	1.4162e+06	3.5147	0.99978	0.00022034	0.00044068	0.005582	True
SOX9_g2	SOX9	3101.1	6326.2	3101.1	6326.2	1.0283	5.2007e+06	1.2013e+06	2.9426	0.99837	0.0016312	0.0032625	0.035421	True
SOX9_g4	SOX9	2013.4	4134.2	2013.4	4134.2	1.0376	2.2489e+06	7.799e+05	2.4015	0.99174	0.0082579	0.016516	0.14415	True
SOX9_g3	SOX9	2385	4679.8	2385	4679.8	0.9722	2.6333e+06	9.2385e+05	2.3876	0.99146	0.0085352	0.01707	0.14415	True
mKate2_g4	mKate2	3411.9	5905	3411.9	5905	0.79119	3.1079e+06	1.3216e+06	2.1687	0.98492	0.015077	0.030154	0.22917	True
SOX9_g6	SOX9	6534.3	9465.5	6534.3	9465.5	0.53459	4.2961e+06	2.5311e+06	1.8425	0.96729	0.032705	0.065411	0.45193	True
SOX9_g1	SOX9	4988	7092.9	4988	7092.9	0.50782	2.2152e+06	1.9322e+06	1.5143	0.93501	0.064991	0.12998	0.73944	True
CTRL0003_g3	CTRL	14811	11702	14811	11702	-0.33983	4.8312e+06	5.7371e+06	1.2978	0.097184	0.90282	0.19437	0.73944	False
ROSA26_g1	ROSA26	16051	13131	16051	13131	-0.28969	4.2637e+06	6.2175e+06	1.1711	0.12078	0.87922	0.24156	0.73944	False
LRIG1_g5	LRIG1	10771	8468.5	10771	8468.5	-0.34698	2.6515e+06	4.1724e+06	1.1274	0.12979	0.87021	0.25958	0.73944	False
