id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	1.9204	3.9138e-07	4.999e-06	5e-05	1	6	1.9204
SOX9	6	0.99997	1.0	0.999995	9	0	0.66489	3.1414e-05	9.4981e-05	0.000475	2	6	0.66489
EGFP	6	0.99933	0.99932	0.999995	8	0	0.15745	0.0066417	0.0258	0.085999	3	5	0.15745
KRT20	6	0.99913	0.9991	0.999995	7	0	0.19661	0.041174	0.11675	0.291879	4	4	0.19661
LRIG1	6	0.015281	0.065282	0.32641	2	3	-0.29885	0.94754	0.94743	0.991277	5	0	-0.29885
CTRL	10	0.14141	0.40422	0.673707	6	7	-0.30203	0.97959	0.98018	0.991277	6	0	-0.30203
PROM1	6	0.10333	0.2867	0.668016	4	5	-0.30261	0.9831	0.98323	0.991277	7	0	-0.30261
ROSA26	10	0.00088412	0.0066637	0.066637	1	8	-0.36944	0.98322	0.98378	0.991277	8	0	-0.36944
AAVS1	10	0.10665	0.33401	0.668016	5	7	-0.33877	0.9888	0.98939	0.991277	9	0	-0.33877
CCR5	10	0.035097	0.14991	0.499683	3	8	-0.33526	0.99091	0.99128	0.991277	10	0	-0.33526
