id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	4.9297	4.1512e-06	1.4997e-05	0.00015	1	5	4.9297
SOX9	6	0.99999	1.0	0.999995	9	0	1.892	0.36283	0.36311	0.994706	2	1	1.892
KRT20	6	0.84834	0.92574	0.999995	7	1	-0.27598	0.71922	0.71755	0.994706	3	0	-0.27598
LRIG1	6	0.11168	0.30322	0.70239	4	3	-0.45205	0.83119	0.8296	0.994706	4	0	-0.45205
CCR5	10	0.90475	0.97476	0.999995	8	3	-0.40956	0.83419	0.83493	0.994706	5	0	-0.40956
ROSA26	10	0.03143	0.13759	0.458625	3	8	-0.46681	0.9135	0.9138	0.994706	6	0	-0.46681
AAVS1	10	0.67361	0.89451	0.999995	6	4	-0.4674	0.95687	0.95742	0.994706	7	0	-0.4674
CTRL	10	0.115	0.35119	0.70239	5	7	-0.4259	0.97012	0.97117	0.994706	8	0	-0.4259
PROM1	6	0.0031387	0.015362	0.120051	1	6	-0.4753	0.99388	0.99363	0.994706	9	0	-0.4753
EGFP	6	0.0050697	0.02401	0.120051	2	6	-0.42391	0.99493	0.99471	0.994706	10	0	-0.42391
