sgRNA	Gene	S77_MNSC510_F5	S78_MNSC510_F6	S79_MNSC510_F7	S80_MNSC510_F8
SOX9_g1	SOX9	1379	1292	1877	3434
SOX9_g2	SOX9	1059	701	1511	3048
SOX9_g3	SOX9	945	600	843	1570
SOX9_g4	SOX9	743	495	1180	2050
SOX9_g5	SOX9	1501	875	1978	3751
SOX9_g6	SOX9	2675	2247	2585	3885
PROM1_g1	PROM1	1688	1863	1465	1637
PROM1_g2	PROM1	2575	2874	2373	2619
PROM1_g3	PROM1	1761	2057	1604	1652
PROM1_g4	PROM1	2887	3255	2542	2727
PROM1_g5	PROM1	1618	1950	1487	1629
PROM1_g6	PROM1	4029	4537	3516	3818
KRT20_g1	KRT20	780	1713	1581	1580
KRT20_g2	KRT20	1003	2277	2041	2393
KRT20_g3	KRT20	855	2049	1784	1919
KRT20_g4	KRT20	339	986	818	865
KRT20_g5	KRT20	1272	3187	2773	3001
KRT20_g6	KRT20	687	1368	1277	1350
LRIG1_g1	LRIG1	2045	2096	1736	1859
LRIG1_g2	LRIG1	1172	1240	977	1074
LRIG1_g3	LRIG1	1319	1423	1089	1206
LRIG1_g4	LRIG1	2426	2708	2123	2358
LRIG1_g5	LRIG1	3591	3796	2823	3127
LRIG1_g6	LRIG1	1171	1338	1089	1178
CTRL0001_g1	CTRL	1598	1869	1406	1628
CTRL0002_g2	CTRL	1521	1745	1344	1471
CTRL0003_g3	CTRL	4974	5626	4510	4881
CTRL0004_g4	CTRL	838	873	723	760
CTRL0005_g5	CTRL	1684	1869	1425	1616
CTRL0006_g6	CTRL	2939	3232	2524	2631
CTRL0007_g7	CTRL	1874	2060	1753	1810
CTRL0008_g8	CTRL	1783	2038	1551	1750
CTRL0009_g9	CTRL	1721	1763	1444	1677
CTRL0010_g10	CTRL	2687	3031	2403	2647
ROSA26_g1	ROSA26	5549	6514	5046	5470
ROSA26_g2	ROSA26	2353	2756	2118	2329
ROSA26_g3	ROSA26	2783	3021	2321	2612
ROSA26_g4	ROSA26	1969	2419	1814	1926
ROSA26_g5	ROSA26	1628	1897	1500	1608
ROSA26_g6	ROSA26	2421	3178	2159	2242
ROSA26_g7	ROSA26	1753	1932	1473	1627
ROSA26_g8	ROSA26	1538	1690	1318	1291
ROSA26_g9	ROSA26	726	727	570	633
ROSA26_g10	ROSA26	1960	2460	1986	2271
CCR5_g1	CCR5	1269	1306	944	1074
CCR5_g2	CCR5	1831	2282	1716	1902
CCR5_g3	CCR5	1139	1237	1026	1111
CCR5_g4	CCR5	892	968	795	913
CCR5_g5	CCR5	1441	1648	1235	1356
CCR5_g6	CCR5	1338	1472	1109	1190
CCR5_g7	CCR5	2779	2942	2308	2728
CCR5_g8	CCR5	1682	1863	1403	1697
CCR5_g9	CCR5	1004	1195	957	995
CCR5_g10	CCR5	1607	1679	1309	1478
AAVS1_g1	AAVS1	1980	2373	1762	1958
AAVS1_g2	AAVS1	1779	2100	1690	1835
AAVS1_g3	AAVS1	1331	1522	1172	1147
AAVS1_g4	AAVS1	767	892	706	792
AAVS1_g5	AAVS1	1532	1687	1209	1402
AAVS1_g6	AAVS1	709	820	679	668
AAVS1_g7	AAVS1	1082	1175	898	1046
AAVS1_g8	AAVS1	2099	2427	1766	1976
AAVS1_g9	AAVS1	601	706	501	566
AAVS1_g10	AAVS1	1000	1082	772	953
EGFP_g1	EGFP	882	2552	1998	2249
EGFP_g2	EGFP	931	3142	2651	2955
EGFP_g3	EGFP	554	1696	1115	1619
EGFP_g4	EGFP	580	1621	1374	1611
EGFP_g5	EGFP	889	2692	2410	2627
EGFP_g6	EGFP	1654	3147	2706	3093
mKate2_g1	mKate2	1825	272	4051	5317
mKate2_g2	mKate2	2241	311	5490	6413
mKate2_g3	mKate2	2089	321	5010	6051
mKate2_g4	mKate2	1641	986	2881	3346
mKate2_g5	mKate2	1769	414	3871	4840
mKate2_g6	mKate2	3163	479	7349	8908
