sgRNA	Gene	S49_MNSC507_F1	S50_MNSC507_F2	S51_MNSC507_F3	S52_MNSC507_F4
SOX9_g1	SOX9	1803	4805	3138	3334
SOX9_g2	SOX9	1159	3594	2255	2500
SOX9_g3	SOX9	579	1999	1196	1008
SOX9_g4	SOX9	868	2469	1615	1709
SOX9_g5	SOX9	1349	4813	3322	3553
SOX9_g6	SOX9	2840	6458	4700	4573
PROM1_g1	PROM1	3224	4150	2638	2319
PROM1_g2	PROM1	4906	6304	4278	3535
PROM1_g3	PROM1	3191	4072	2772	2581
PROM1_g4	PROM1	5610	7091	4692	4407
PROM1_g5	PROM1	3115	4027	2567	2613
PROM1_g6	PROM1	7706	9870	6522	6046
KRT20_g1	KRT20	3718	2602	2933	2758
KRT20_g2	KRT20	4659	3082	3767	3517
KRT20_g3	KRT20	3541	2146	2919	2627
KRT20_g4	KRT20	1873	1347	1452	1421
KRT20_g5	KRT20	7170	4351	5361	5086
KRT20_g6	KRT20	2835	1787	2417	2325
LRIG1_g1	LRIG1	3863	4877	3234	2701
LRIG1_g2	LRIG1	2349	2893	1768	1605
LRIG1_g3	LRIG1	2352	3023	2067	1853
LRIG1_g4	LRIG1	4175	5131	3661	3368
LRIG1_g5	LRIG1	6420	8320	5339	4632
LRIG1_g6	LRIG1	2294	2946	1958	1786
CTRL0001_g1	CTRL	3192	3679	2528	2184
CTRL0002_g2	CTRL	3131	3601	2378	2278
CTRL0003_g3	CTRL	9245	11489	7636	6881
CTRL0004_g4	CTRL	1731	1927	1346	1260
CTRL0005_g5	CTRL	3363	4066	2678	2629
CTRL0006_g6	CTRL	6290	7628	4952	4843
CTRL0007_g7	CTRL	3665	4587	3154	2730
CTRL0008_g8	CTRL	3361	4178	2912	2633
CTRL0009_g9	CTRL	3386	3776	2539	2371
CTRL0010_g10	CTRL	5219	6300	4422	4012
ROSA26_g1	ROSA26	10993	13518	8995	8339
ROSA26_g2	ROSA26	4652	5659	3673	3605
ROSA26_g3	ROSA26	5653	6769	4166	4027
ROSA26_g4	ROSA26	3588	4898	3147	2912
ROSA26_g5	ROSA26	3262	4149	2644	2350
ROSA26_g6	ROSA26	5253	6266	3912	3540
ROSA26_g7	ROSA26	4099	5522	3286	3103
ROSA26_g8	ROSA26	3103	3398	2264	2287
ROSA26_g9	ROSA26	1466	1734	1191	1089
ROSA26_g10	ROSA26	3568	3927	2892	2750
CCR5_g1	CCR5	2453	3077	1912	1894
CCR5_g2	CCR5	3935	5042	3124	2960
CCR5_g3	CCR5	2329	2532	1710	1523
CCR5_g4	CCR5	1764	2332	1447	1350
CCR5_g5	CCR5	2645	3339	2136	2025
CCR5_g6	CCR5	2623	3555	2261	2001
CCR5_g7	CCR5	5084	6594	4273	3980
CCR5_g8	CCR5	3186	4102	2617	2391
CCR5_g9	CCR5	2002	2456	1607	1245
CCR5_g10	CCR5	2886	3683	2469	2252
AAVS1_g1	AAVS1	4388	5309	3493	3116
AAVS1_g2	AAVS1	3608	4402	2878	2689
AAVS1_g3	AAVS1	2970	3514	2254	2004
AAVS1_g4	AAVS1	1821	2145	1524	1330
AAVS1_g5	AAVS1	3267	3917	2487	2354
AAVS1_g6	AAVS1	1307	1566	1075	1052
AAVS1_g7	AAVS1	2510	2929	1932	1936
AAVS1_g8	AAVS1	5089	6752	4339	3609
AAVS1_g9	AAVS1	1414	1660	1151	915
AAVS1_g10	AAVS1	1853	2170	1439	1308
EGFP_g1	EGFP	882	6086	5574	5230
EGFP_g2	EGFP	879	7140	7030	6247
EGFP_g3	EGFP	561	3907	4235	3710
EGFP_g4	EGFP	571	4150	3573	3551
EGFP_g5	EGFP	867	6905	6281	5915
EGFP_g6	EGFP	1355	7656	7082	6961
mKate2_g1	mKate2	4021	1986	2790	2704
mKate2_g2	mKate2	4474	2317	3164	3254
mKate2_g3	mKate2	4432	2338	3018	3085
mKate2_g4	mKate2	3171	2637	2546	2461
mKate2_g5	mKate2	3239	1841	2547	2600
mKate2_g6	mKate2	5850	3485	4828	4329
