id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	1.97	3.9138e-07	4.999e-06	5e-05	1	6	1.97
KRT20	6	0.99999	1.0	0.999995	9	0	1.5066	1.2003e-05	3.4993e-05	0.000175	2	6	1.5066
LRIG1	6	0.792	0.86962	0.999995	8	1	-0.15407	0.74552	0.743	0.999995	3	0	-0.15407
mKate2	6	0.65315	0.78807	0.999995	6	2	-0.12519	0.792	0.79028	0.999995	4	0	-0.12519
CCR5	10	0.1195	0.33406	0.999995	3	5	-0.22318	0.83419	0.83493	0.999995	5	0	-0.22318
ROSA26	10	0.74083	0.89449	0.999995	7	2	-0.1357	0.8796	0.88022	0.999995	6	0	-0.1357
CTRL	10	0.5282	0.7793	0.999995	5	4	-0.1773	0.9135	0.9138	0.999995	7	0	-0.1773
AAVS1	10	0.27504	0.55829	0.999995	4	5	-0.20636	0.93855	0.93887	0.999995	8	0	-0.20636
PROM1	6	0.018203	0.066392	0.331959	2	5	-0.25187	0.99493	0.99471	0.999995	9	0	-0.25187
SOX9	6	1.2003e-05	3.4993e-05	0.00035	1	6	-0.46591	0.99999	1.0	0.999995	10	0	-0.46591
