id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
mKate2	6	1.0	1.0	0.999995	10	0	2.8622	9.236e-07	4.999e-06	5e-05	1	6	2.8622
SOX9	6	0.99999	1.0	0.999995	9	0	1.1987	1.2003e-05	3.4993e-05	0.000175	2	6	1.1987
ROSA26	10	0.17996	0.47273	0.945461	5	6	-0.21872	0.83419	0.83493	0.999995	3	0	-0.21872
PROM1	6	0.091948	0.2621	0.873675	3	5	-0.17875	0.84834	0.84736	0.999995	4	0	-0.17875
CCR5	10	0.77047	0.93211	0.999995	7	3	-0.16718	0.8796	0.88022	0.999995	5	0	-0.16718
AAVS1	10	0.47163	0.77557	0.999995	6	5	-0.24874	0.89781	0.8985	0.999995	6	0	-0.24874
KRT20	6	0.14646	0.35579	0.889485	4	4	-0.24366	0.91393	0.91393	0.999995	7	0	-0.24366
CTRL	10	0.91811	0.97806	0.999995	8	3	-0.18597	0.93855	0.93887	0.999995	8	0	-0.18597
LRIG1	6	0.014431	0.062103	0.310513	2	6	-0.28743	0.98557	0.98583	0.999995	9	0	-0.28743
EGFP	6	1.9572e-06	1.4997e-05	0.00015	1	6	-0.40172	1.0	1.0	0.999995	10	0	-0.40172
