id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SOX9	6	0.028103	0.10254	0.407302	3	3	0.00032886	0.03883	0.038527	0.385273	1	1	0.00032886
mKate2	6	0.99998	1.0	0.999995	10	0	0.22548	0.11273	0.11272	0.563612	2	0	0.22548
EGFP	6	0.92366	0.95638	0.999995	8	1	0.052917	0.36283	0.36269	0.9395	3	0	0.052917
CTRL	10	0.99091	0.99703	0.999995	9	1	0.068379	0.37591	0.3758	0.9395	4	0	0.068379
PROM1	6	0.010279	0.045226	0.407302	1	5	-0.19937	0.83119	0.8296	0.997036	5	0	-0.19937
KRT20	6	0.26183	0.51648	0.860803	6	4	-0.039385	0.86401	0.86292	0.997036	6	0	-0.039385
CCR5	10	0.1232	0.368	0.808448	4	7	-0.11746	0.8796	0.88022	0.997036	7	0	-0.11746
ROSA26	10	0.027087	0.12219	0.407302	2	7	-0.1042	0.89781	0.8985	0.997036	8	0	-0.1042
LRIG1	6	0.46388	0.70405	0.999995	7	3	-0.036397	0.90318	0.90309	0.997036	9	0	-0.036397
AAVS1	10	0.14141	0.40422	0.808448	5	7	-0.2338	0.99701	0.99704	0.997036	10	0	-0.2338
