sgRNA	Gene	S41_MNSC506_F1	S42_MNSC506_F2	S43_MNSC506_F3	S44_MNSC506_F4
SOX9_g1	SOX9	1383	2261	1600	1133
SOX9_g2	SOX9	999	2032	1254	948
SOX9_g3	SOX9	565	780	574	395
SOX9_g4	SOX9	618	1108	884	613
SOX9_g5	SOX9	1567	2427	1817	1333
SOX9_g6	SOX9	1660	2016	2166	1569
PROM1_g1	PROM1	842	1507	1153	867
PROM1_g2	PROM1	1181	2675	1795	1338
PROM1_g3	PROM1	798	1351	1108	742
PROM1_g4	PROM1	1349	2233	1952	1435
PROM1_g5	PROM1	829	1250	1074	752
PROM1_g6	PROM1	1910	3197	2769	2007
KRT20_g1	KRT20	281	1130	1208	939
KRT20_g2	KRT20	258	1639	1623	1226
KRT20_g3	KRT20	244	1483	1200	925
KRT20_g4	KRT20	138	715	641	503
KRT20_g5	KRT20	459	2379	2354	1748
KRT20_g6	KRT20	211	1026	1057	804
LRIG1_g1	LRIG1	976	1755	1261	972
LRIG1_g2	LRIG1	520	967	818	569
LRIG1_g3	LRIG1	598	1260	918	590
LRIG1_g4	LRIG1	923	2042	1428	955
LRIG1_g5	LRIG1	1613	3014	2160	1621
LRIG1_g6	LRIG1	552	910	671	539
CTRL0001_g1	CTRL	727	1567	1006	715
CTRL0002_g2	CTRL	592	1542	969	705
CTRL0003_g3	CTRL	2080	4838	3360	2243
CTRL0004_g4	CTRL	347	886	518	450
CTRL0005_g5	CTRL	728	1601	1128	705
CTRL0006_g6	CTRL	1448	2479	2103	1506
CTRL0007_g7	CTRL	838	1809	1256	951
CTRL0008_g8	CTRL	809	1820	1207	830
CTRL0009_g9	CTRL	721	1596	1077	791
CTRL0010_g10	CTRL	1150	2607	1809	1299
ROSA26_g1	ROSA26	2602	4685	3768	2789
ROSA26_g2	ROSA26	1076	2240	1572	1184
ROSA26_g3	ROSA26	1221	1937	1847	1371
ROSA26_g4	ROSA26	848	1656	1392	917
ROSA26_g5	ROSA26	726	1259	1114	766
ROSA26_g6	ROSA26	1171	2350	1562	1159
ROSA26_g7	ROSA26	1029	1791	1442	1018
ROSA26_g8	ROSA26	656	1477	1010	744
ROSA26_g9	ROSA26	332	571	450	366
ROSA26_g10	ROSA26	875	1384	1235	827
CCR5_g1	CCR5	577	1067	825	599
CCR5_g2	CCR5	1041	2029	1304	915
CCR5_g3	CCR5	612	1121	749	563
CCR5_g4	CCR5	455	709	612	434
CCR5_g5	CCR5	615	1339	917	688
CCR5_g6	CCR5	684	1080	1014	627
CCR5_g7	CCR5	1206	2637	1830	1409
CCR5_g8	CCR5	765	1622	1149	799
CCR5_g9	CCR5	517	859	640	443
CCR5_g10	CCR5	778	1377	1080	732
AAVS1_g1	AAVS1	993	1689	1455	1167
AAVS1_g2	AAVS1	889	1798	1276	890
AAVS1_g3	AAVS1	737	1186	990	740
AAVS1_g4	AAVS1	449	724	640	435
AAVS1_g5	AAVS1	764	1346	1054	727
AAVS1_g6	AAVS1	310	508	420	351
AAVS1_g7	AAVS1	586	1028	825	606
AAVS1_g8	AAVS1	1375	2020	1847	1410
AAVS1_g9	AAVS1	296	516	474	313
AAVS1_g10	AAVS1	385	912	652	394
EGFP_g1	EGFP	280	4037	2071	1397
EGFP_g2	EGFP	332	5758	2591	1910
EGFP_g3	EGFP	187	3024	1483	1110
EGFP_g4	EGFP	151	2435	1254	972
EGFP_g5	EGFP	267	4929	2252	1597
EGFP_g6	EGFP	458	4488	2424	1847
mKate2_g1	mKate2	1028	1185	1554	1168
mKate2_g2	mKate2	1229	1366	1985	1358
mKate2_g3	mKate2	1222	1353	1764	1263
mKate2_g4	mKate2	807	1092	1105	912
mKate2_g5	mKate2	952	966	1407	1043
mKate2_g6	mKate2	1644	2384	2640	1874
