id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	2.8321	0.03883	0.038527	0.385273	1	1	2.8321
KRT20	6	0.99999	1.0	0.999995	9	0	2.0327	0.30665	0.30693	0.999995	2	0	2.0327
LRIG1	6	0.99949	0.99953	0.999995	8	0	0.12317	0.65978	0.65838	0.999995	3	0	0.12317
PROM1	6	0.61855	0.81621	0.999995	7	3	0.0021025	0.74552	0.743	0.999995	4	0	0.0021025
ROSA26	10	0.2161	0.52111	0.999995	4	6	-0.013207	0.92698	0.92732	0.999995	5	0	-0.013207
AAVS1	10	0.40359	0.72728	0.999995	5	5	-0.015896	0.95687	0.95742	0.999995	6	0	-0.015896
CTRL	10	0.60675	0.86411	0.999995	6	5	-0.0033735	0.97526	0.97604	0.999995	7	0	-0.0033735
CCR5	10	0.044509	0.18096	0.603196	3	7	-0.099599	0.9888	0.98939	0.999995	8	0	-0.099599
SOX9	6	4.8231e-05	0.00021496	0.001075	2	6	-1.0545	0.99995	1.0	0.999995	9	0	-1.0545
mKate2	6	3.8147e-06	1.4997e-05	0.00015	1	6	-3.0541	1.0	1.0	0.999995	10	0	-3.0541
