id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	1.3394	9.236e-07	4.999e-06	5e-05	1	6	1.3394
KRT20	6	0.99999	1.0	0.999995	9	0	0.94883	1.2003e-05	3.4993e-05	0.000175	2	6	0.94883
mKate2	6	0.99985	0.99988	0.999995	8	0	0.26669	0.28982	0.41414	0.996406	3	2	0.26669
LRIG1	6	0.36283	0.36269	0.906731	4	0	-0.19315	0.86401	0.86292	0.996406	4	0	-0.19315
CTRL	10	0.80615	0.80665	0.999995	7	0	-0.088814	0.93855	0.93887	0.996406	5	0	-0.088814
PROM1	6	0.30665	0.30742	0.906731	3	1	-0.1555	0.94754	0.94743	0.996406	6	0	-0.1555
ROSA26	10	0.04085	0.081169	0.642746	1	2	-0.19315	0.97526	0.97604	0.996406	7	0	-0.19315
CCR5	10	0.074632	0.12855	0.642746	2	2	-0.24064	0.98322	0.98378	0.996406	8	0	-0.24064
AAVS1	10	0.59101	0.5911	0.985161	6	0	-0.22731	0.99091	0.99128	0.996406	9	0	-0.22731
SOX9	6	0.59021	0.58945	0.985161	5	0	-0.34938	0.99658	0.99641	0.996406	10	0	-0.34938
