id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EGFP	6	1.0	1.0	0.999995	10	0	2.517	1.4365e-07	4.999e-06	5e-05	1	6	2.517
SOX9	6	0.99999	1.0	0.999995	9	0	0.85499	1.2003e-05	3.4993e-05	0.000175	2	6	0.85499
AAVS1	10	0.29911	0.62272	0.787186	7	6	-0.23928	0.83419	0.83493	0.97348	3	0	-0.23928
CTRL	10	0.2085	0.51134	0.787186	5	5	-0.18559	0.8796	0.88022	0.97348	4	0	-0.18559
ROSA26	10	0.20896	0.51179	0.787186	6	5	-0.17767	0.89781	0.8985	0.97348	5	0	-0.17767
PROM1	6	0.10333	0.2867	0.76216	3	5	-0.1778	0.91393	0.91393	0.97348	6	0	-0.1778
CCR5	10	0.3054	0.62975	0.787186	8	4	-0.15112	0.93855	0.93887	0.97348	7	0	-0.15112
mKate2	6	0.0029678	0.014572	0.145721	1	5	-0.3576	0.94754	0.94743	0.97348	8	0	-0.3576
LRIG1	6	0.11273	0.30486	0.76216	4	3	-0.20734	0.96484	0.9649	0.97348	9	0	-0.20734
KRT20	6	0.015281	0.065282	0.32641	2	5	-0.36524	0.97349	0.97348	0.97348	10	0	-0.36524
