sgRNA	Gene	P5_F1.fq	P5_F2.fq	P5_F3.fq	P5_F4.fq	P5_F5.fq	P5_F6.fq	P5_F7.fq	P5_F8.fq
SOX9_g1	SOX9	5361	6562	5554	5775	1239	2243	2246	1457
SOX9_g2	SOX9	4257	4779	4891	4819	1019	1379	2210	1190
SOX9_g3	SOX9	5187	5559	5361	4852	1122	1829	1775	1483
SOX9_g4	SOX9	2793	3293	2756	2841	613	1166	1526	829
SOX9_g5	SOX9	6632	7336	5996	6517	1379	2914	2747	1629
SOX9_g6	SOX9	9456	10160	8304	9679	1939	4633	3929	2371
PROM1_g1	PROM1	7115	6476	5357	5976	3115	4148	2673	1176
PROM1_g2	PROM1	9841	9727	7022	7690	3264	5797	3196	1860
PROM1_g3	PROM1	7796	7901	5421	5943	2462	4226	2344	1455
PROM1_g4	PROM1	11385	11045	7533	8962	3653	6638	4070	1916
PROM1_g5	PROM1	6975	7187	5130	5030	1955	3907	2210	1118
PROM1_g6	PROM1	16896	16560	11639	13559	6044	9555	5850	3352
KRT20_g1	KRT20	6367	6329	4851	5742	2502	3714	2160	1532
KRT20_g2	KRT20	9842	8783	6423	7059	3378	4980	2716	1419
KRT20_g3	KRT20	7680	7909	5763	5891	2369	4366	2262	1079
KRT20_g4	KRT20	3376	3275	2444	2542	861	2109	1013	794
KRT20_g5	KRT20	11917	11099	7662	9250	3746	7344	3614	2218
KRT20_g6	KRT20	5682	6191	4337	4496	2378	3089	2170	734
LRIG1_g1	LRIG1	8516	8511	5790	7014	4566	4523	2876	1360
LRIG1_g2	LRIG1	4905	5316	3429	4129	1606	3529	1285	865
LRIG1_g3	LRIG1	4484	4934	3208	3750	1386	2459	1322	932
LRIG1_g4	LRIG1	10605	11763	8222	8511	4571	7121	3488	1609
LRIG1_g5	LRIG1	14590	13393	9780	10837	4707	8265	4196	2791
LRIG1_g6	LRIG1	5601	4954	3795	4380	2174	3076	1685	1229
CTRL0001_g1	CTRL	5331	6046	3963	4243	2246	2896	1626	1316
CTRL0002_g2	CTRL	5138	5071	3480	3788	2177	2938	1478	976
CTRL0003_g3	CTRL	18384	17843	13600	14838	6543	9996	6244	3740
CTRL0004_g4	CTRL	3841	3309	2459	2902	1122	1770	896	1065
CTRL0005_g5	CTRL	6466	5866	4578	4765	1856	3480	2073	1120
CTRL0006_g6	CTRL	12007	11461	7750	8973	4369	7327	4162	2082
CTRL0007_g7	CTRL	6990	6997	5038	4945	2205	4049	2337	1476
CTRL0008_g8	CTRL	7471	7597	5273	5776	2769	4058	2328	1930
CTRL0009_g9	CTRL	6197	5977	3820	4956	2325	3933	2117	1233
CTRL0010_g10	CTRL	10228	10691	6711	8019	5050	5522	3356	2098
ROSA26_g1	ROSA26	19487	18937	13154	16062	6899	10384	5834	3214
ROSA26_g2	ROSA26	7871	7629	5146	6381	2918	3952	2344	1357
