sgRNA	Gene	P6_F5.fq	P6_F6.fq	P6_F7.fq	P6_F8.fq	P6_F1.fq	P6_F2.fq	P6_F3.fq	P6_F4.fq
SOX9_g1	SOX9	7537	6592	7944	7455	4508	3738	1179	1185
SOX9_g2	SOX9	6819	5294	5543	5409	3560	2765	585	592
SOX9_g3	SOX9	6773	6067	7799	6565	4071	3295	839	939
SOX9_g4	SOX9	4339	3443	4037	3943	2323	2007	667	608
SOX9_g5	SOX9	8306	7512	9261	8236	5177	4315	1296	1428
SOX9_g6	SOX9	11113	10080	13418	13161	7207	6368	3248	3130
PROM1_g1	PROM1	6368	5904	9686	7526	3330	3786	3234	3219
PROM1_g2	PROM1	9356	9171	12556	9933	4915	5581	4894	4999
PROM1_g3	PROM1	7661	7826	10434	8790	3556	4127	3177	3368
PROM1_g4	PROM1	10468	10301	15058	13522	5752	6260	5431	4366
PROM1_g5	PROM1	6087	6704	7979	7248	3408	3838	3119	2791
PROM1_g6	PROM1	15702	15481	22336	19797	8351	9409	7681	7082
KRT20_g1	KRT20	2927	3339	8762	6882	509	638	3584	3560
KRT20_g2	KRT20	5255	5671	11648	10734	778	877	4914	4429
KRT20_g3	KRT20	3656	4049	9944	8217	535	804	5119	4707
KRT20_g4	KRT20	1831	2357	4161	3702	225	330	1801	1887
KRT20_g5	KRT20	6124	7089	14874	12885	1041	1064	6208	5306
KRT20_g6	KRT20	3771	4331	7523	6826	742	820	3121	2819
LRIG1_g1	LRIG1	7973	7546	11157	9646	4252	4765	3950	3588
LRIG1_g2	LRIG1	5096	5041	6451	5058	2494	2504	2317	1945
LRIG1_g3	LRIG1	5303	4357	6434	6135	2447	2973	2376	2556
LRIG1_g4	LRIG1	11521	10775	14716	13821	5686	6733	5725	5816
LRIG1_g5	LRIG1	13980	13524	18233	15847	6991	8097	7143	6853
LRIG1_g6	LRIG1	4726	4705	6804	6185	2526	2650	2711	2810
