sgRNA	Gene	P2_F1.fq	P2_F2.fq	P2_F3.fq	P2_F4.fq	P2_F5.fq	P2_F6.fq	P2_F7.fq	P2_F8.fq
GFPsh1	GFP	144	2	0	1	77	119	151	221
GFPsh2	GFP	293	0	0	0	127	152	626	741
GFPsh3	GFP	72	3	1	1	21	50	48	32
GFPsh4	GFP	172	2	1	3	113	84	121	115
GFPsh5	GFP	22	4	0	1	40	41	31	20
GFPsh6	GFP	0	0	0	0	0	0	0	0
GFPsh7	GFP	64	5	2	2	78	74	56	47
GFPsh8	GFP	0	0	0	0	0	0	0	0
GFPsh9	GFP	57	3	0	2	21	31	43	28
GFPsh10	GFP	117	3	1	1	39	58	84	69
mKatesh1	mKate	169	0	0	0	66	104	115	132
mKatesh2	mKate	121	3	1	4	40	56	66	44
mKatesh3	mKate	176	2	0	0	66	90	92	119
mKatesh4	mKate	979	0	0	1	757	692	386	301
mKatesh5	mKate	0	0	0	0	0	0	0	0
mKatesh6	mKate	0	0	0	0	0	0	0	0
mKatesh7	mKate	37	0	0	0	42	31	35	52
mKatesh8	mKate	84	0	0	0	18	27	35	21
mKatesh9	mKate	151	2	0	0	127	112	128	149
mKatesh10	mKate	35	1	0	0	8	40	34	14
SOX9sh1	SOX9	0	0	0	0	0	0	0	0
SOX9sh2	SOX9	167	2	1	0	152	160	200	207
SOX9sh3	SOX9	307	3	0	1	292	235	257	278
SOX9sh4	SOX9	82	1	0	1	53	66	46	39
SOX9sh5	SOX9	0	0	0	0	0	0	0	0
SOX9sh6	SOX9	333	0	0	4	352	301	217	143
SOX9sh7	SOX9	16368	0	4	1	16990	13159	10844	8990
SOX9sh8	SOX9	6597	2	1	0	9770	5719	3264	2567
SOX9sh9	SOX9	8400	7	4	0	11786	9422	7713	6165
SOX9sh10	SOX9	4893	0	0	0	4666	4017	3212	2541
KRT20sh1	KRT20	117	3	0	4	36	99	68	62
KRT20sh2	KRT20	0	0	0	0	0	0	0	0
KRT20sh3	KRT20	90	7	1	2	40	70	57	66
KRT20sh4	KRT20	33	4	0	1	8	17	25	9
KRT20sh5	KRT20	61	0	0	0	25	47	100	36
KRT20sh6	KRT20	1379	1	0	0	774	973	1462	1079
KRT20sh7	KRT20	5823	0	0	1	3474	4265	6946	5899
KRT20sh8	KRT20	10009	8	0	13	7629	7257	8467	8420
KRT20sh9	KRT20	6966	4	0	0	4311	4884	6020	5593
