sgRNA	Gene	P1_F1.fq	P1_F2.fq	P1_F3.fq	P1_F4.fq	P1_F5.fq	P1_F6.fq	P1_F7.fq	P1_F8.fq
GFPsh1	GFP	167	105	206	317	128	53	215	108
GFPsh2	GFP	286	180	689	5413	194	143	1860	768
GFPsh3	GFP	62	48	54	71	4	19	64	34
GFPsh4	GFP	148	97	155	106	95	36	40	13
GFPsh5	GFP	37	32	39	32	13	7	5	8
GFPsh6	GFP	0	0	0	0	0	0	0	0
GFPsh7	GFP	63	31	39	46	35	10	27	9
GFPsh8	GFP	0	0	0	0	0	0	0	0
GFPsh9	GFP	38	26	58	70	6	22	32	13
GFPsh10	GFP	101	50	100	87	18	43	46	18
mKatesh1	mKate	158	79	96	87	91	84	45	44
mKatesh2	mKate	89	45	57	48	40	38	17	31
mKatesh3	mKate	130	81	98	70	178	71	56	13
mKatesh4	mKate	487	247	503	831	180	222	323	200
mKatesh5	mKate	0	0	0	0	0	0	0	0
mKatesh6	mKate	0	0	0	0	0	0	0	0
mKatesh7	mKate	36	23	35	34	48	21	17	13
mKatesh8	mKate	52	37	35	22	27	6	7	3
mKatesh9	mKate	122	81	155	127	125	33	85	65
mKatesh10	mKate	54	17	22	11	12	16	3	4
SOX9sh1	SOX9	0	0	0	0	0	0	0	0
SOX9sh2	SOX9	173	81	116	180	80	87	130	83
SOX9sh3	SOX9	178	115	409	950	159	78	522	314
SOX9sh4	SOX9	74	47	70	22	23	11	12	10
SOX9sh5	SOX9	0	0	0	0	0	0	0	0
SOX9sh6	SOX9	125	96	371	309	51	66	157	107
SOX9sh7	SOX9	5304	3906	13131	16824	3260	2219	6503	6107
SOX9sh8	SOX9	1729	1285	10529	16422	1492	1111	7247	4226
SOX9sh9	SOX9	2701	1871	6099	8926	1497	1154	3397	1915
SOX9sh10	SOX9	1552	933	3015	3991	613	413	1465	989
KRT20sh1	KRT20	105	70	85	23	68	38	8	26
KRT20sh2	KRT20	0	0	0	0	0	0	0	0
KRT20sh3	KRT20	89	44	42	34	68	25	18	22
KRT20sh4	KRT20	30	26	44	22	16	9	15	12
KRT20sh5	KRT20	71	52	53	26	35	21	23	14
KRT20sh6	KRT20	1384	815	852	998	922	739	428	287
KRT20sh7	KRT20	5185	3334	3804	4306	2772	2196	1616	1214
KRT20sh8	KRT20	14667	6286	5926	7890	13191	6924	2654	2351
KRT20sh9	KRT20	6096	3542	4365	6992	6471	4204	2412	1963
KRT20sh10	KRT20	285	207	303	334	143	134	116	90
Prom1sh1	Prom1	573	418	554	611	365	237	243	154
Prom1sh2	Prom1	93	56	50	43	90	31	16	14
Prom1sh3	Prom1	159	77	115	102	34	47	35	25
Prom1sh4	Prom1	762	524	643	558	636	431	271	273
Prom1sh5	Prom1	440	274	573	601	231	159	232	172
Prom1sh6	Prom1	47	38	53	35	34	14	22	5
Prom1sh7	Prom1	150	91	109	114	81	37	55	24
Prom1sh8	Prom1	84	56	73	51	57	22	36	14
Prom1sh9	Prom1	1366	895	1162	2094	1781	1300	1102	733
Prom1sh10	Prom1	133	95	110	105	62	49	31	34
LGR5sh1	LGR5	4960	3039	3323	4872	5706	3644	2108	1907
LGR5sh2	LGR5	35	24	51	25	34	40	20	22
LGR5sh3	LGR5	123	81	122	74	112	57	46	47
LGR5sh4	LGR5	251	131	247	264	122	69	105	106
LGR5sh5	LGR5	409	241	255	331	229	172	171	105
LGR5sh6	LGR5	92	94	93	40	74	35	20	13
LGR5sh7	LGR5	234	99	139	122	107	85	53	31
LGR5sh8	LGR5	89	38	63	25	26	26	6	7
LGR5sh9	LGR5	4251	2797	3100	4486	5282	3406	1961	1518
LGR5sh10	LGR5	554	388	669	854	416	280	322	197
CCR5ch1	CCR5	707	473	988	779	340	236	226	144
CCR5ch2	CCR5	78	41	34	60	5	29	4	9
CCR5ch3	CCR5	58	21	30	64	317	110	66	48
CCR5ch4	CCR5	14733	8517	9525	8483	8004	5518	3978	2697
CCR5ch5	CCR5	162	133	110	101	95	57	41	34
CCR5ch6	CCR5	0	0	0	0	0	0	0	0
CCR5ch7	CCR5	1135	724	825	888	690	480	322	226
CCR5ch8	CCR5	83	59	70	55	49	35	17	9
CCR5ch9	CCR5	459	289	284	559	344	289	219	163
CCR5ch10	CCR5	268	204	297	223	134	131	149	105
hSATB1sh1	hSATB1	35	49	42	56	45	25	29	27
hSATB1sh2	hSATB1	88	66	92	51	44	30	14	17
hSATB1sh3	hSATB1	37	27	43	43	26	22	35	29
hSATB2sh1	hSATB2	83	75	76	76	30	36	20	12
hSATB2sh2	hSATB2	104	65	86	68	43	29	27	24
hSATB2sh3	hSATB2	52	36	55	44	29	13	5	7
hSMARCA4sh1	hSMARCA4	194	149	151	87	117	101	53	34
hSMARCA4sh2	hSMARCA4	68	53	96	56	57	26	21	4
hSMARCA4sh3	hSMARCA4	38	25	37	36	6	24	1	3
hSMARCB1sh1	hSMARCB1	69	49	80	23	36	32	15	23
hSMARCB1sh2	hSMARCB1	88	69	91	71	84	23	40	12
hSMARCC1sh1	hSMARCC1	415	332	483	383	220	124	164	145
hSMARCC1sh2	hSMARCC1	845	390	475	1190	1525	908	635	492
hSMARCC1sh3	hSMARCC1	265	166	251	317	149	118	109	79
hSMARCC2sh1	hSMARCC2	152	93	100	95	143	74	48	32
hSMARCC2sh2	hSMARCC2	2184	1589	1798	3202	2199	1704	1522	1101
hSMARCC2sh3	hSMARCC2	113	97	175	137	73	76	47	39
hSMARCD1sh1	hSMARCD1	848	574	926	814	500	375	418	297
hSMARCD1sh2	hSMARCD1	111	57	75	58	59	43	24	9
hSMARCD1sh3	hSMARCD1	144	128	134	200	210	124	113	87
