sgRNA	Gene	P4_F5.fq	P4_F6.fq	P4_F7.fq	P4_F8.fq	P4_F1.fq	P4_F2.fq	P4_F3.fq	P4_F4.fq
SOX9_g1	SOX9	18618	14982	10523	8164	8449	11210	1585	831
SOX9_g2	SOX9	17286	11846	7615	6677	7223	7443	734	330
SOX9_g3	SOX9	16969	13609	9652	7904	7551	9132	1159	663
SOX9_g4	SOX9	9808	7218	4986	4558	4083	5357	676	712
SOX9_g5	SOX9	20852	16200	12621	9697	9513	11885	1483	941
SOX9_g6	SOX9	28691	23381	19288	15524	14513	18860	3955	2208
PROM1_g1	PROM1	16278	12976	13175	10841	6266	10755	4949	3277
PROM1_g2	PROM1	23545	20228	17179	12866	9483	15825	5751	3518
PROM1_g3	PROM1	19566	16964	13332	10397	6923	10752	4254	3087
PROM1_g4	PROM1	27350	23447	19926	15920	10230	17578	6286	3757
PROM1_g5	PROM1	17166	15543	12428	9256	7454	11804	4482	2637
PROM1_g6	PROM1	40696	34763	29424	23876	15137	26399	9217	5887
KRT20_g1	KRT20	8007	8155	11346	9076	1240	1899	4797	2879
KRT20_g2	KRT20	13895	12578	15892	12705	1667	2529	6673	3961
KRT20_g3	KRT20	9754	9619	13730	10798	1236	2386	5832	3484
KRT20_g4	KRT20	5442	5795	6512	4875	625	806	2217	1551
KRT20_g5	KRT20	16957	17488	21890	16236	1931	3279	7418	5001
KRT20_g6	KRT20	9244	9074	9883	7930	1512	2163	3806	2254
LRIG1_g1	LRIG1	20493	17021	15030	11922	8170	12852	4890	2571
LRIG1_g2	LRIG1	12945	10916	8304	6732	4480	7437	2752	1617
LRIG1_g3	LRIG1	10710	8092	7178	5853	4116	7451	2751	1965
LRIG1_g4	LRIG1	27494	22264	19357	15631	8758	16603	5877	4036
LRIG1_g5	LRIG1	34147	28658	24260	18694	13281	22418	8074	5518
LRIG1_g6	LRIG1	12886	10997	9964	6683	4714	8245	3119	1828
CTRL0001_g1	CTRL	14359	12791	9902	7763	5661	9481	2973	2113
CTRL0002_g2	CTRL	12941	11390	9481	7077	5258	8272	3516	2456
CTRL0003_g3	CTRL	46141	40268	34926	26991	19256	30705	11219	6665
CTRL0004_g4	CTRL	8050	7200	5911	5097	3008	5015	2149	1206
CTRL0005_g5	CTRL	14461	11944	10847	8353	5585	9504	3768	2513
