id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SOX9	9	0.91554	0.91878	0.98916	23	1	1.3267	0.00092405	0.0026337	0.065842	1	3	1.3267
GFP	10	0.88441	0.91262	0.98916	21	1	0.17671	0.15282	0.1628	0.912919	2	1	0.17671
hSMARCC2	3	0.53806	0.54075	0.98916	13	1	-0.12857	0.21023	0.20951	0.912919	3	0	-0.12857
GFPscrm	10	0.98936	0.98916	0.98916	25	0	0.14247	0.25957	0.25926	0.912919	4	1	0.14247
hSMARCA4	3	0.77463	0.77566	0.98916	18	0	0.11052	0.25975	0.25865	0.912919	5	0	0.11052
hSMARCB1	2	0.91039	0.90984	0.98916	22	0	0.27929	0.31829	0.31702	0.912919	6	0	0.27929
TCF20	2	0.38191	0.38357	0.799111	12	1	-0.028159	0.33984	0.33879	0.912919	7	0	-0.028159
hSATB1	3	0.97656	0.97628	0.98916	24	0	0.35972	0.36715	0.36621	0.912919	8	0	0.35972
mKatescrm	10	0.094415	0.25446	0.78814	7	2	-0.0020202	0.3971	0.39809	0.912919	9	0	-0.0020202
hSMARCC1	3	0.19325	0.28898	0.78814	9	1	0.073354	0.48926	0.48768	0.912919	10	0	0.073354
KRT20	10	0.013424	0.055517	0.693966	2	5	-0.28019	0.57606	0.57727	0.912919	11	0	-0.28019
hSATB2	3	0.86745	0.86826	0.98916	20	0	0.024523	0.58365	0.58226	0.912919	12	0	0.024523
LGR5	10	0.071164	0.20459	0.78814	5	4	-0.087628	0.60549	0.60726	0.912919	13	0	-0.087628
hSMARCD1	4	0.68911	0.68956	0.98916	17	1	0.16317	0.6306	0.63027	0.912919	14	0	0.16317
CCR5	9	0.0093292	0.040315	0.693966	1	6	-0.40352	0.64448	0.64484	0.912919	15	0	-0.40352
KRT20scrm	10	0.62617	0.78278	0.98916	16	2	-0.031038	0.65889	0.66046	0.912919	16	0	-0.031038
TCF4	2	0.071059	0.12512	0.78814	4	1	-0.4548	0.70541	0.70387	0.912919	17	0	-0.4548
MYCscrm	1	0.28618	0.28647	0.78814	11	0	-0.17723	0.71382	0.71493	0.912919	18	0	-0.17723
mKate	10	0.15282	0.34678	0.78814	8	4	-0.2679	0.74665	0.74899	0.912919	19	0	-0.2679
MYC	5	0.094276	0.20184	0.78814	6	2	-0.28285	0.74667	0.7466	0.912919	20	0	-0.28285
Prom1	10	0.57606	0.75686	0.98916	15	1	-0.087118	0.76513	0.76685	0.912919	21	0	-0.087118
hAPC	4	0.54991	0.57587	0.98916	14	1	-0.092172	0.85682	0.85723	0.973218	22	0	-0.092172
POLRD2	5	0.21118	0.34352	0.78814	10	2	-0.34591	0.94997	0.94975	0.973218	23	0	-0.34591
SOX9scrm	9	0.069564	0.20041	0.78814	3	4	-0.14088	0.97116	0.97123	0.973218	24	0	-0.14088
POLRD2scrm	5	0.7876	0.78769	0.98916	19	1	-0.28743	0.97356	0.97322	0.973218	25	0	-0.28743
