id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
KRT20	6	0.99985	0.99988	0.999995	9	0	0.20944	0.03883	0.038527	0.385273	1	1	0.20944
EGFP	6	0.99997	1.0	0.999995	10	0	0.17863	0.11273	0.11272	0.563612	2	0	0.17863
ROSA26	10	0.5282	0.52828	0.917408	5	0	-0.027462	0.37591	0.3758	0.997086	3	0	-0.027462
PROM1	6	0.5512	0.55044	0.917408	6	0	-0.014299	0.76974	0.76702	0.997086	4	0	-0.014299
AAVS1	10	0.37591	0.37622	0.917408	3	1	0.0006279	0.8796	0.88022	0.997086	5	0	0.0006279
mKate2	6	0.71922	0.71755	0.999995	7	0	0.0052759	0.90318	0.90309	0.997086	6	0	0.0052759
CCR5	10	0.45684	0.45701	0.917408	4	0	-0.013623	0.93855	0.93887	0.997086	7	0	-0.013623
CTRL	10	0.85853	0.8583	0.999995	8	0	0.013258	0.95687	0.95742	0.997086	8	0	0.013258
LRIG1	6	0.18183	0.18656	0.917408	2	1	-0.054013	0.99125	0.99097	0.997086	9	0	-0.054013
SOX9	6	0.0055424	0.011913	0.119126	1	2	-0.13496	0.99722	0.99709	0.997086	10	0	-0.13496
