id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
KRT20scrm	10	0.19618	0.36725	0.905235	8	2	0.32526	0.017005	0.077546	0.886798	1	6	0.32526
hSATB1	3	0.90022	0.90029	0.954965	23	0	0.27281	0.029314	0.072469	0.886798	2	2	0.27281
hSMARCC2	3	0.67505	0.67482	0.905235	17	0	0.23236	0.049662	0.11835	0.886798	3	2	0.23236
SOX9scrm	9	0.72852	0.75942	0.905235	20	1	0.12887	0.05565	0.18741	0.886798	4	4	0.12887
SOX9	9	0.59437	0.69379	0.905235	16	1	0.060675	0.086632	0.26374	0.886798	5	4	0.060675
POLRD2scrm	5	0.91654	0.91677	0.954965	24	0	0.26622	0.13717	0.29332	0.886798	6	3	0.26622
hSMARCD1	4	0.53527	0.53472	0.905235	14	1	0.1865	0.1414	0.28709	0.886798	7	3	0.1865
mKatescrm	10	0.20781	0.38213	0.905235	9	1	0.23616	0.15947	0.4084	0.886798	8	5	0.23616
TCF20	2	0.44242	0.44039	0.905235	10	0	0.21243	0.24012	0.3107	0.886798	9	1	0.21243
hSMARCA4	3	0.79586	0.79661	0.905235	22	0	0.30882	0.24046	0.36636	0.886798	10	2	0.30882
hSMARCC1	3	0.048535	0.085942	0.632278	4	1	0.016445	0.25975	0.38964	0.886798	11	1	0.016445
LGR5	10	0.1747	0.34009	0.905235	7	3	0.035987	0.30826	0.59784	0.950693	12	3	0.035987
hSATB2	3	0.71095	0.71209	0.905235	18	0	0.15728	0.32249	0.4619	0.886798	13	1	0.15728
KRT20	10	0.032412	0.10116	0.632278	3	3	0.079702	0.3971	0.68294	0.950693	14	3	0.079702
GFPscrm	10	0.97149	0.97081	0.97081	25	0	0.16644	0.41978	0.69977	0.950693	15	4	0.16644
hSMARCB1	2	0.79093	0.78783	0.905235	21	0	0.26524	0.4619	0.47618	0.886798	16	1	0.26524
MYCscrm	1	0.50329	0.50339	0.905235	12	0	0.041601	0.49671	0.49661	0.886798	17	0	0.041601
CCR5	9	0.10492	0.23292	0.905235	6	2	0.042654	0.5042	0.76055	0.950693	18	3	0.042654
Prom1	10	0.72687	0.77856	0.905235	19	1	0.093071	0.57909	0.81643	0.959895	19	4	0.093071
POLRD2	5	0.45751	0.49278	0.905235	11	1	0.024564	0.61249	0.74888	0.950693	20	2	0.024564
MYC	5	0.01726	0.044613	0.557659	2	3	-0.27074	0.61629	0.75198	0.950693	21	1	-0.27074
GFP	10	0.58528	0.71578	0.905235	15	2	0.052172	0.71353	0.8831	0.959895	22	3	0.052172
hAPC	4	0.52028	0.52089	0.905235	13	1	-0.004301	0.8506	0.85184	0.959895	23	1	-0.004301
mKate	10	0.089719	0.21854	0.905235	5	4	0.026114	0.98237	0.98636	0.991689	24	1	0.026114
TCF4	2	0.0078882	0.015497	0.387431	1	2	-0.75817	0.99211	0.99169	0.991689	25	0	-0.75817
